Stacja1;Stacja2;Dystans
Koszecin;Kielce;74,6
Koszecin;Kornelin;76,66
Koszecin;Panki;107,32
Koszecin;Wabrzezno;106,0
Koszecin;Zbaszynek;241,35
Koszecin;Leszno;214,18
Koszecin;Bielsk Podlaski;288,09
Koszecin;Sucha Beskidzka;336,92
Koszecin;Baborowko;413,46
Koszecin;Smolec;173,08
Koszecin;Wloclawek;475,4
Koszecin;Sierakow Slaski;220,94
Koszecin;Poznan Wola;302,87
Koszecin;Kotlin;25,41
Koszecin;Pobiedziska;158,6
Koszecin;Zbaszyn;292,18
Koszecin;Wydminy;125,76
Koszecin;Balinka;425,28
Koszecin;Sochaczew;50,87
Koszecin;Zajezierze Kolo;113,29
Koszecin;Tluszcz;114,48
Koszecin;Rybnik;374,54
Koszecin;Jastrzebna;279,33
Koszecin;Siedlce;236,74
Koszecin;Ilowiec;365,94
Koszecin;Lobez;100,49
Koszecin;Bialy Bor;392,88
Koszecin;Mokra Mokra;443,46
Koszecin;Silno;336,9
Koszecin;Bytom Odrzanski;235,22
Koszecin;Szydlow;251,72
Koszecin;Blonie;158,58
Koszecin;Jezewo;47,36
Koszecin;Wierzchucin;5,81
Koszecin;Wilkoszewice;494,44
Koszecin;Swarzedz;206,94
Koszecin;Lowczowek Plesna;239,42
Koszecin;Bielsko-Biala Glowna;395,67
Koszecin;Trzcianka;206,62
Koszecin;Kuznica Bialostocka;432,37
Koszecin;Slawno;297,55
Koszecin;Gliwice;321,9
Koszecin;Jedrzejow;86,45
Koszecin;Grzmiaca;273,1
Koszecin;Strzalkowo;360,89
Koszecin;Miedzylesie;23,49
Koszecin;Piastow;266,17
Koszecin;Czerwiensk;140,98
Koszecin;Miedzyzdroje;142,18
Koszecin;Wrzesnia;493,59
Koszecin;Lipka Krajenska;382,96
Koszecin;Knyszyn;293,59
Koszecin;Sroda Wielkopolska;460,62
Koszecin;Jelenia Gora;195,15
Koszecin;Krzeszowice;17,01
Koszecin;Dabrowa Gornicza;134,56
Koszecin;Milik;314,02
Koszecin;Strykow;314,38
Koszecin;Jarocin;85,24
Koszecin;Olesno Slaskie;136,49
Koszecin;Zegiestow Zdroj;17,8
Koszecin;Kamien Pomorski;71,1
Koszecin;Dobieszyn;441,97
Koszecin;Bardo Slaskie;288,49
Koszecin;Bialogard;251,08
Koszecin;Budachow;476,41
Koszecin;Bialosliwie;235,62
Koszecin;Dobiegniew;195,21
Koszecin;Maksymilianowo;58,99
Koszecin;Biala Podlaska;243,65
Koszecin;Siemiatycze;433,05
Koszecin;Naleczow;446,34
Koszecin;Zebrzydowice;131,23
Koszecin;Sztum;181,87
Koszecin;Przeworsk;73,45
Koszecin;Kutno;463,13
Koszecin;Kolo;409,16
Koszecin;Warszawa Wlochy;488,19
Koszecin;Babimost;400,77
Koszecin;Warszawa Stadion;491,25
Koszecin;Sieradz;426,37
Koszecin;Nowy Sacz;385,21
Koszecin;Elblag;442,38
Koszecin;Wrzosow;162,84
Koszecin;Korsze;313,8
Koszecin;Jaroslaw;366,79
Koszecin;Siechnice;147,51
Koszecin;Warszawa Powisle;444,01
Koszecin;Podborsko;372,04
Koszecin;Warszawa Miedzylesie;310,85
Koszecin;Pelplin;123,54
Koszecin;Mlodow;432,51
Koszecin;Krasiejow;29,42
Koszecin;Kowalow;147,56
Koszecin;Sosnowiec Glowny;442,87
Koszecin;Rytro;257,39
Koszecin;Lugi Gorzyckie;291,79
Koszecin;Gadkow Wielki;236,73
Koszecin;Anieliny;203,06
Koszecin;Laskarzew Przystanek;52,31
Koszecin;Minsk Mazowiecki;26,69
Koszecin;Pilawa;232,24
Koszecin;Lipno Nowe;125,35
Koszecin;Potegowo;350,55
Koszecin;Pierzyska;399,83
Koszecin;Mogilno;110,06
Koszecin;Stare Bojanowo;430,09
Koszecin;Gniezno;53,4
Koszecin;Krakow Swoszowice;414,27
Koszecin;Pleszew;321,32
Koszecin;Kielpino Kartuskie;255,35
Koszecin;Barcice;83,03
Koszecin;Zabkowice Slaskie;341,53
Koszecin;Kolobrzeg;334,73
Koszecin;Przywory Opolskie;484,06
Koszecin;Wierchomla Wielka;58,39
Koszecin;Gdansk Wrzeszcz;389,8
Koszecin;Skierniewice;450,31
Koszecin;Steszew;285,35
Koszecin;Czarna Tarnowska;146,45
Koszecin;Przetycz Stare;256,98
Koszecin;Debe Wielkie;67,41
Koszecin;Grupa;222,88
Koszecin;Wieliczka Park;405,99
Koszecin;Jawor;139,78
Koszecin;Katowice Ligota;83,43
Koszecin;Lomnica-Zdroj;329,42
Koszecin;Jozefow;159,68
Koszecin;Kobylnica;205,61
Koszecin;Piwniczna;105,43
Koszecin;Gryfice;121,04
Koszecin;Slupsk;446,19
Koszecin;Oswiecim;121,58
Koszecin;Gdansk Glowny;40,98
Koszecin;Oborniki Slaskie;355,27
Koszecin;Budzyn;459,82
Koszecin;Rybnik Paruszowiec;242,74
Koszecin;Wroclaw Lesnica;43,21
Koszecin;Wroclaw Brochow;493,95
Koszecin;Gluszyca;314,94
Koszecin;Torun Wschodni;411,17
Koszecin;Stare Pole;464,83
Koszecin;Jastarnia;425,42
Koszecin;Warszawa Wilenska;88,16
Koszecin;Miedzyborow;246,3
Koszecin;Pabianice;451,67
Koszecin;Zarow;356,12
Koszecin;Leba;276,02
Koszecin;Pobiedziska Letnisko;209,42
Koszecin;Biadoliny;467,6
Koszecin;Andrychow;434,68
Koszecin;Rosochatka;486,64
Koszecin;Rumia;420,84
Koszecin;Rawicz;360,51
Koszecin;Zielona Gora Glowna;153,46
Koszecin;Czerwonka;449,77
Koszecin;Chorzow Batory;139,57
Koszecin;Puszczykowko;328,03
Koszecin;Strzebielino Morskie;235,19
Koszecin;Warka;374,43
Koszecin;Malowice Wolowskie;65,63
Koszecin;Pruszcz Gdanski;61,44
Koszecin;Chocicza;13,5
Koszecin;Czarna Bialostocka;166,62
Koszecin;Podlasek;235,8
Koszecin;Baby;64,01
Koszecin;Radziwillow Mazowiecki;105,65
Koszecin;Krasnik;387,12
Koszecin;Lutol Suchy;359,38
Koszecin;Zabki;191,06
Koszecin;Radomsko;343,87
Koszecin;Wroclaw Zachodni;161,54
Koszecin;Jastrzab;352,1
Koszecin;Glogowek;118,67
Koszecin;Miasteczko Krajenskie;93,05
Koszecin;Scinawa;208,28
Koszecin;Osie;97,38
Koszecin;Dobczyn;109,79
Koszecin;Pepowo;63,14
Koszecin;Pomiechowek;31,17
Koszecin;Twarda Gora;153,26
Koszecin;Gdynia Chylonia;309,14
Koszecin;Strzelce Opolskie;488,87
Koszecin;Oborzyska Stare;86,62
Koszecin;Gronowo Elblaskie;284,44
Koszecin;Celestynow;440,23
Koszecin;Kedzierzyn-Kozle;170,79
Koszecin;Bierzwnik;111,73
Koszecin;Luzino;401,83
Koszecin;Opole Groszowice;292,36
Koszecin;Gdynia Glowna;26,84
Koszecin;Starczow;198,29
Koszecin;Glowno;388,74
Koszecin;Belchow;341,53
Koszecin;Kostrzyn Wielkopolski;244,73
Koszecin;Dziewule;496,27
Koszecin;Wroclaw Osobowice;438,74
Koszecin;Godetowo;461,8
Koszecin;Sedziszow Malopolski;462,5
Koszecin;Radom Glowny;65,43
Koszecin;Ostrzeszow;390,83
Koszecin;Swiebodzice;235,81
Koszecin;Swinoujscie;106,27
Koszecin;Wierzchowo Czluchowskie;264,24
Koszecin;Deblin;113,9
Koszecin;Nowa Wies Wielka;332,04
Koszecin;Ruda Slaska;471,71
Koszecin;Skorzewo;118,73
Koszecin;Gorzanow;359,8
Koszecin;Stara Lubianka;51,09
Koszecin;Grabow Pilica;243,76
Koszecin;Lezajsk;24,46
Koszecin;Lodz Widzew;374,59
Koszecin;Swieta Katarzyna;66,58
Koszecin;Cekcyn;290,16
Koszecin;Zyrardow;28,83
Koszecin;Smetowo Smetowo;9,4
Koszecin;Okonek;269,0
Koszecin;Olesnica;159,1
Koszecin;Domaszkow;464,95
Koszecin;Morzeszczyn;252,94
Koszecin;Dziembowko;246,52
Koszecin;Czestochowa Stradom;142,47
Koszecin;Chojnow;116,02
Koszecin;Sulkowice;142,9
Koszecin;Wroclaw Psie;200,06
Koszecin;Rogow;337,82
Koszecin;Boleszkowice;86,06
Koszecin;Paslek;451,54
Koszecin;Runowo Pomorskie;161,55
Koszecin;Ruda Wielka;283,29
Koszecin;Pulawy Miasto;198,59
Koszecin;Plociczno Suwalk;382,25
Koszecin;Sedzislaw;94,96
Koszecin;Prabuty;448,9
Koszecin;Czaplinek;65,73
Koszecin;Kundzin;14,8
Koszecin;Tarnow;196,76
Koszecin;Zielonczyn;286,76
Koszecin;Stronie;301,28
Koszecin;Bincze;374,26
Koszecin;Kluczbork;45,05
Koszecin;Kolumna;72,74
Koszecin;Czempin;224,64
Koszecin;Strzelce Krajenskie Wschod;404,65
Koszecin;Katowice;421,6
Koszecin;Nowe Drezdenko;169,36
Koszecin;Rokietnica;411,4
Koszecin;Terespol;414,68
Koszecin;Gniewkowo;237,01
Koszecin;Olawa;377,33
Koszecin;Zgierz;297,68
Koszecin;Bukowo;134,96
Koszecin;Ozarow Mazowiecki Ozarow;435,67
Koszecin;Suwalki;195,06
Koszecin;Zagan;106,76
Koszecin;Zywiec;276,92
Koszecin;Slonice;405,31
Koszecin;Rytel;143,32
Koszecin;Gizycko;93,68
Koszecin;Stalowa Wola Rozwadow;340,07
Koszecin;Warszawa WKD;289,39
Koszecin;Bialystok Bacieczki;287,95
Koszecin;Chodziez;5,44
Koszecin;Wloszczowa;377,22
Koszecin;Torun Miasto;323,44
Koszecin;Otwock;91,76
Koszecin;Greboszow;119,07
Koszecin;Gdansk Oliwa;24,93
Koszecin;Luban Slaski;475,4
Koszecin;Rybnik Niedobczyce;96,8
Koszecin;Smardzow Wroclawski;438,16
Koszecin;Swidnik Miasto;111,01
Koszecin;Tarnowskie Gory;181,11
Koszecin;Elk;65,32
Koszecin;Koszalin;387,24
Koszecin;Warszawa Ursus;35,05
Koszecin;Sopot;168,78
Koszecin;Nieszawa Waganiec;115,48
Koszecin;Kanie;351,37
Koszecin;Kalisz Kaszubski;457,79
Koszecin;Garwolin;279,95
Koszecin;Paledzie;208,88
Koszecin;Zubrzyk;85,39
Koszecin;Szczytna;150,59
Koszecin;Slawiecice;403,16
Koszecin;Poraj;305,16
Wroclaw Pracze;Wegliniec;489,12
Wroclaw Pracze;Wolin;171,28
Wroclaw Pracze;Legnica;360,95
Wroclaw Pracze;Kalisz;415,1
Wroclaw Pracze;Machnacz;407,02
Wroclaw Pracze;Swidwin;152,7
Wroclaw Pracze;Monki;42,7
Wroclaw Pracze;Nowiny Wielkie;46,56
Wroclaw Pracze;Warszawa Ochota;61,82
Wroclaw Pracze;Dobroszyce;352,02
Wroclaw Pracze;Susz;13,98
Wroclaw Pracze;Jaworzyna Slaska;397,25
Wroclaw Pracze;Bydgoszcz Glowna;274,77
Wroclaw Pracze;Ilawa Glowna;166,45
Wroclaw Pracze;Golubie Kaszubskie;246,38
Wroclaw Pracze;Modlin Nowy;307,47
Wroclaw Pracze;Witaszyce;356,82
Wroclaw Pracze;Jablonowo Pomorskie;377,09
Wroclaw Pracze;Drawski Mlyn;346,0
Wroclaw Pracze;Lodz Kaliska;155,57
Wroclaw Pracze;Tczew;40,27
Wroclaw Pracze;Dziemiany Kaszubskie;358,3
Wroclaw Pracze;Duszniki-Zdroj;389,85
Wroclaw Pracze;Ziebice;188,32
Wroclaw Pracze;Nidzica;58,32
Wroclaw Pracze;Lowicz Glowny;324,35
Wroclaw Pracze;Scinawka Srednia;449,35
Wroclaw Pracze;NowaWies Mochy;36,92
Wroclaw Pracze;Rogozno Wielkopolskie;124,87
Wroclaw Pracze;Gorzkowice;223,81
Wroclaw Pracze;Stary Sacz;144,47
Wroclaw Pracze;Klodawa;65,57
Wroclaw Pracze;Poznan Glowny;355,51
Wroclaw Pracze;Lebork;469,98
Wroclaw Pracze;Borowa Olesnicka;340,24
Wroclaw Pracze;Wroclaw Kuzniki;64,53
Wroclaw Pracze;Turzno;246,24
Wroclaw Pracze;Serock;113,94
Wroclaw Pracze;Bochnia;470,7
Wroclaw Pracze;Wolczyn;129,38
Wroclaw Pracze;Koluszki;123,19
Wroclaw Pracze;Osowiec;344,98
Wroclaw Pracze;Kaliska;403,97
Wroclaw Pracze;Swiekatowo;24,09
Wroclaw Pracze;Damnica;7,55
Wroclaw Pracze;Pierzchno;82,42
Wroclaw Pracze;Warszawa Srodmiescie;330,48
Wroclaw Pracze;Walbrzych Miasto;274,52
Wroclaw Pracze;Rabka-Zdroj;283,18
Wroclaw Pracze;Bladzim;6,34
Wroclaw Pracze;Wronki;62,09
Wroclaw Pracze;Lancut;221,81
Wroclaw Pracze;Wloszakowice;497,26
Wroclaw Pracze;Opalenica;304,23
Wroclaw Pracze;Imbramowice;362,59
Wroclaw Pracze;Lubon Poznania;337,37
Wroclaw Pracze;Ciechanow;53,44
Wroclaw Pracze;Czeremcha;34,5
Wroclaw Pracze;Brusy;479,74
Wroclaw Pracze;Roztoki Bystrzyckie;162,72
Wroclaw Pracze;Szymiszow;187,28
Wroclaw Pracze;Sulejowek Milosna;409,24
Wroclaw Pracze;Krakow Glowny;202,16
Wroclaw Pracze;Kamieniec Zabkowicki;130,55
Wroclaw Pracze;Warszawa Wschodnia;164,27
Wroclaw Pracze;Bierutow;456,47
Wroclaw Pracze;Kaliska Kujawskie;212,73
Wroclaw Pracze;Parlin;42,26
Wroclaw Pracze;Szamotuly;339,55
Wroclaw Pracze;Grodzisk Mazowiecki;85,52
Wroclaw Pracze;Janikowo;335,77
Wroclaw Pracze;Plochocin;101,23
Wroclaw Pracze;Konopki;306,08
Wroclaw Pracze;Szczecinek;287,33
Wroclaw Pracze;Zary;443,9
Wroclaw Pracze;Raba Wyzna;440,3
Wroclaw Pracze;Barlogi;405,63
Wroclaw Pracze;Tomaszow Mazowiecki;357,29
Wroclaw Pracze;Zawiercie;97,8
Wroclaw Pracze;Pszczyna;257,16
Wroclaw Pracze;Szczepki;337,04
Wroclaw Pracze;Satopy-Samulewo;240,91
Wroclaw Pracze;Brzeg Dolny;304,27
Wroclaw Pracze;Tychowo;315,8
Wroclaw Pracze;Morag;486,61
Wroclaw Pracze;Zlotow;45,96
Wroclaw Pracze;Nowy Tomysl;196,92
Wroclaw Pracze;Chelm;33,28
Wroclaw Pracze;Pamiatkowo;262,65
Wroclaw Pracze;Laskowice Pomorskie;386,88
Wroclaw Pracze;Zalesie Gorne;248,1
Wroclaw Pracze;Iwin;364,16
Wroclaw Pracze;Witnica;94,19
Wroclaw Pracze;Boleslawiec;434,7
Wroclaw Pracze;Krzywizna;126,32
Wroclaw Pracze;Bytom;438,06
Wroclaw Pracze;Boguszow-Gorce Zachod;130,02
Wroclaw Pracze;Czarna Woda;310,91
Wroclaw Pracze;Chojna;149,41
Wroclaw Pracze;Dolice;212,73
Wroclaw Pracze;Pionki Zachodnie;292,89
Wroclaw Pracze;Sosnie Ostrowskie;249,41
Wroclaw Pracze;Naklo Notecia;274,99
Wroclaw Pracze;Kotomierz;206,94
Wroclaw Pracze;Lublin Glowny;405,21
Wroclaw Pracze;Warszawa Rembertow;222,74
Wroclaw Pracze;Szczecin Dabie;239,33
Wroclaw Pracze;Milanowek;329,29
Wroclaw Pracze;Sulechow;67,16
Wroclaw Pracze;Dzialdowo;104,85
Wroclaw Pracze;Sidra;328,65
Wroclaw Pracze;Nasielsk;303,89
Wroclaw Pracze;Mlawa;403,63
Wroclaw Pracze;Sterkowiec;209,12
Wroclaw Pracze;Dabrowa Bialostocka;177,41
Wroclaw Pracze;Lednogora;30,25
Wroclaw Pracze;Polanica-Zdroj;383,95
Wroclaw Pracze;Wejherowo;426,32
Wroclaw Pracze;Lencze;47,17
Wroclaw Pracze;Mieszkow;63,99
Wroclaw Pracze;Poznan Debiec;261,93
Wroclaw Pracze;Zawadzkie;140,58
Wroclaw Pracze;Chynow;252,25
Wroclaw Pracze;Zielonka Pomorska;429,31
Wroclaw Pracze;Barchow;213,81
Wroclaw Pracze;Taczanow;365,04
Wroclaw Pracze;Oborniki Wielkopolskie;411,39
Wroclaw Pracze;Kepno;358,79
Wroclaw Pracze;Bydgoszcz Zachod;184,88
Wroclaw Pracze;Zdrody Nowe;379,12
Wroclaw Pracze;Korzensko;134,38
Wroclaw Pracze;Prudnik;138,57
Wroclaw Pracze;Piotrkow Trybunalski;325,54
Wroclaw Pracze;Kudowa-Zdroj;285,85
Wroclaw Pracze;Sierakowice Skierniewickie;391,62
Wroclaw Pracze;Malkinia Malkinia;331,16
Wroclaw Pracze;Szczytno;183,56
Wroclaw Pracze;Zgorzelec Ujazd;255,94
Wroclaw Pracze;Sadurki;374,76
Wroclaw Pracze;Chelm Miasto;75,18
Wroclaw Pracze;Wloclawek Zazamcze;219,05
Wroclaw Pracze;Brwinow;93,6
Wroclaw Pracze;Raciborz;238,09
Wroclaw Pracze;Radymno;56,93
Wroclaw Pracze;Mialy;284,18
Wroclaw Pracze;Warszawa Zachodnia;439,8
Wroclaw Pracze;Szklarska Poreba Gorna;187,61
Wroclaw Pracze;Wasilkow;473,76
Wroclaw Pracze;Konin;295,05
Wroclaw Pracze;Miedzyrzec Podlaski;76,76
Wroclaw Pracze;Debica;117,16
Wroclaw Pracze;Bydgoszcz Legnowo;424,06
Wroclaw Pracze;Hel;388,45
Wroclaw Pracze;Bardo Przylek;216,86
Wroclaw Pracze;Kamienna Nowa;296,74
Wroclaw Pracze;Leczyca;127,89
Wroclaw Pracze;Jablon Koscielna;143,49
Wroclaw Pracze;Bystrzyca Klodzka Przedmiescie;21,36
Wroclaw Pracze;Poronin;329,06
Wroclaw Pracze;Rzepin;286,53
Wroclaw Pracze;Wroclaw Glowny;468,14
Wroclaw Pracze;Zdzieszowice;225,73
Wroclaw Pracze;Janinow;357,61
Wroclaw Pracze;Malczyce;491,47
Wroclaw Pracze;Koniecpol;192,64
Wroclaw Pracze;Klodzko Glowne;441,67
Wroclaw Pracze;Jasien Brzeski;421,6
Wroclaw Pracze;Chrzesne;246,43
Wroclaw Pracze;Stryszow;314,37
Wroclaw Pracze;Lipowa Tucholska;46,61
Wroclaw Pracze;Rzeszow Glowny;78,94
Wroclaw Pracze;Zblewo;64,6
Wroclaw Pracze;Gorzow Wielkopolski;104,75
Wroclaw Pracze;Zlotniki Kujawskie;488,78
Wroclaw Pracze;Lubliniec;9,4
Wroclaw Pracze;Biskupice Wielkopolskie;489,58
Wroclaw Pracze;Poznan Garbary;300,42
Wroclaw Pracze;Kolodziejewo;181,54
Wroclaw Pracze;Racibory Nowe;449,95
Wroclaw Pracze;Bialystok;50,12
Wroclaw Pracze;Lukow;276,52
Wroclaw Pracze;Warszawa Gdanska;270,21
Wroclaw Pracze;Miechow;332,83
Wroclaw Pracze;Kostrzyn Kostrzyn;32,89
Wroclaw Pracze;Krakow Plaszow;310,93
Wroclaw Pracze;Kowalewo Pomorskie;226,06
Wroclaw Pracze;Suchedniow;112,03
Wroclaw Pracze;Mrozy;426,78
Wroclaw Pracze;Zlocieniec;269,02
Wroclaw Pracze;Michalin;100,77
Wroclaw Pracze;Olsztyn Zachodni;217,65
Wroclaw Pracze;Pruszkow;250,09
Wroclaw Pracze;Lodz Chojny;30,14
Wroclaw Pracze;Bednary;393,84
Wroclaw Pracze;Puck;251,61
Wroclaw Pracze;Opole Glowne;21,72
Wroclaw Pracze;Kielce;78,55
Wroclaw Pracze;Kornelin;167,15
Wroclaw Pracze;Panki;93,05
Wroclaw Pracze;Wabrzezno;203,31
Wroclaw Pracze;Zbaszynek;147,5
Wroclaw Pracze;Leszno;63,68
Wroclaw Pracze;Bielsk Podlaski;67,17
Wroclaw Pracze;Sucha Beskidzka;347,83
Wroclaw Pracze;Baborowko;365,27
Wroclaw Pracze;Smolec;234,8
Wroclaw Pracze;Wloclawek;145,37
Wroclaw Pracze;Sierakow Slaski;436,83
Wroclaw Pracze;Poznan Wola;94,7
Wroclaw Pracze;Kotlin;249,86
Wroclaw Pracze;Pobiedziska;434,1
Wroclaw Pracze;Zbaszyn;168,81
Wroclaw Pracze;Wydminy;87,38
Wroclaw Pracze;Balinka;312,35
Wroclaw Pracze;Sochaczew;479,76
Wroclaw Pracze;Zajezierze Kolo;280,09
Wroclaw Pracze;Tluszcz;421,38
Wroclaw Pracze;Rybnik;100,83
Wroclaw Pracze;Jastrzebna;279,68
Wroclaw Pracze;Siedlce;358,51
Wroclaw Pracze;Ilowiec;318,47
Wroclaw Pracze;Lobez;373,35
Wroclaw Pracze;Bialy Bor;162,33
Wroclaw Pracze;Mokra Mokra;278,73
Wroclaw Pracze;Silno;88,84
Wroclaw Pracze;Bytom Odrzanski;96,08
Wroclaw Pracze;Szydlow;202,44
Wroclaw Pracze;Blonie;320,86
Wroclaw Pracze;Jezewo;473,2
Wroclaw Pracze;Wierzchucin;421,98
Wroclaw Pracze;Wilkoszewice;164,92
Wroclaw Pracze;Swarzedz;323,77
Wroclaw Pracze;Lowczowek Plesna;491,27
Wroclaw Pracze;Bielsko-Biala Glowna;100,19
Wroclaw Pracze;Trzcianka;229,46
Wroclaw Pracze;Kuznica Bialostocka;256,91
Wroclaw Pracze;Slawno;494,89
Wroclaw Pracze;Gliwice;356,54
Wroclaw Pracze;Jedrzejow;166,23
Wroclaw Pracze;Grzmiaca;433,49
Wroclaw Pracze;Strzalkowo;73,37
Wroclaw Pracze;Miedzylesie;199,14
Wroclaw Pracze;Piastow;112,53
Wroclaw Pracze;Czerwiensk;275,29
Wroclaw Pracze;Miedzyzdroje;296,25
Wroclaw Pracze;Wrzesnia;55,35
Wroclaw Pracze;Lipka Krajenska;225,42
Wroclaw Pracze;Knyszyn;457,31
Wroclaw Pracze;Sroda Wielkopolska;125,56
Wroclaw Pracze;Jelenia Gora;6,07
Wroclaw Pracze;Krzeszowice;129,96
Wroclaw Pracze;Dabrowa Gornicza;48,25
Wroclaw Pracze;Milik;201,23
Wroclaw Pracze;Strykow;412,05
Wroclaw Pracze;Jarocin;107,87
Wroclaw Pracze;Olesno Slaskie;65,84
Wroclaw Pracze;Zegiestow Zdroj;397,57
Wroclaw Pracze;Kamien Pomorski;48,33
Wroclaw Pracze;Dobieszyn;405,27
Wroclaw Pracze;Bardo Slaskie;463,82
Wroclaw Pracze;Bialogard;112,66
Wroclaw Pracze;Budachow;159,4
Wroclaw Pracze;Bialosliwie;436,31
Wroclaw Pracze;Dobiegniew;257,85
Wroclaw Pracze;Maksymilianowo;245,07
Wroclaw Pracze;Biala Podlaska;354,19
Wroclaw Pracze;Siemiatycze;304,74
Wroclaw Pracze;Naleczow;327,9
Wroclaw Pracze;Zebrzydowice;33,73
Wroclaw Pracze;Sztum;385,81
Wroclaw Pracze;Przeworsk;9,59
Wroclaw Pracze;Kutno;429,78
Wroclaw Pracze;Kolo;329,82
Wroclaw Pracze;Warszawa Wlochy;398,59
Wroclaw Pracze;Babimost;54,47
Wroclaw Pracze;Warszawa Stadion;51,3
Wroclaw Pracze;Sieradz;314,34
Wroclaw Pracze;Nowy Sacz;450,08
Wroclaw Pracze;Elblag;121,66
Wroclaw Pracze;Wrzosow;243,14
Wroclaw Pracze;Korsze;327,83
Wroclaw Pracze;Jaroslaw;414,39
Wroclaw Pracze;Siechnice;424,88
Wroclaw Pracze;Warszawa Powisle;200,52
Wroclaw Pracze;Podborsko;472,38
Wroclaw Pracze;Warszawa Miedzylesie;24,35
Wroclaw Pracze;Pelplin;202,37
Wroclaw Pracze;Mlodow;253,64
Wroclaw Pracze;Krasiejow;163,52
Wroclaw Pracze;Kowalow;133,36
Wroclaw Pracze;Sosnowiec Glowny;427,73
Wroclaw Pracze;Rytro;476,27
Wroclaw Pracze;Lugi Gorzyckie;293,14
Wroclaw Pracze;Gadkow Wielki;487,15
Wroclaw Pracze;Anieliny;335,88
Wroclaw Pracze;Laskarzew Przystanek;329,48
Wroclaw Pracze;Minsk Mazowiecki;254,8
Wroclaw Pracze;Pilawa;457,78
Wroclaw Pracze;Lipno Nowe;98,09
Wroclaw Pracze;Potegowo;363,7
Wroclaw Pracze;Pierzyska;7,64
Wroclaw Pracze;Mogilno;409,71
Wroclaw Pracze;Stare Bojanowo;474,65
Wroclaw Pracze;Gniezno;464,38
Wroclaw Pracze;Krakow Swoszowice;69,99
Wroclaw Pracze;Pleszew;81,69
Wroclaw Pracze;Kielpino Kartuskie;169,23
Wroclaw Pracze;Barcice;466,33
Wroclaw Pracze;Zabkowice Slaskie;224,44
Wroclaw Pracze;Kolobrzeg;258,87
Wroclaw Pracze;Przywory Opolskie;467,96
Wroclaw Pracze;Wierchomla Wielka;493,56
Wroclaw Pracze;Gdansk Wrzeszcz;224,21
Wroclaw Pracze;Skierniewice;320,82
Wroclaw Pracze;Steszew;179,16
Wroclaw Pracze;Czarna Tarnowska;105,69
Wroclaw Pracze;Przetycz Stare;324,67
Wroclaw Pracze;Debe Wielkie;443,02
Wroclaw Pracze;Grupa;201,09
Wroclaw Pracze;Wieliczka Park;405,05
Wroclaw Pracze;Jawor;157,48
Wroclaw Pracze;Katowice Ligota;230,38
Wroclaw Pracze;Lomnica-Zdroj;209,32
Wroclaw Pracze;Jozefow;171,59
Wroclaw Pracze;Kobylnica;96,86
Wroclaw Pracze;Piwniczna;112,76
Wroclaw Pracze;Gryfice;210,27
Wroclaw Pracze;Slupsk;212,66
Wroclaw Pracze;Oswiecim;33,07
Wroclaw Pracze;Gdansk Glowny;332,82
Wroclaw Pracze;Oborniki Slaskie;368,16
Wroclaw Pracze;Budzyn;274,97
Wroclaw Pracze;Rybnik Paruszowiec;309,65
Wroclaw Pracze;Wroclaw Lesnica;286,6
Wroclaw Pracze;Wroclaw Brochow;496,83
Wroclaw Pracze;Gluszyca;486,71
Wroclaw Pracze;Torun Wschodni;488,69
Wroclaw Pracze;Stare Pole;250,64
Wroclaw Pracze;Jastarnia;139,85
Wroclaw Pracze;Warszawa Wilenska;299,77
Wroclaw Pracze;Miedzyborow;440,69
Wroclaw Pracze;Pabianice;470,52
Wroclaw Pracze;Zarow;191,83
Wroclaw Pracze;Leba;478,78
Wroclaw Pracze;Pobiedziska Letnisko;446,82
Wroclaw Pracze;Biadoliny;405,9
Wroclaw Pracze;Andrychow;427,48
Wroclaw Pracze;Rosochatka;410,54
Wroclaw Pracze;Rumia;344,69
Wroclaw Pracze;Rawicz;83,24
Wroclaw Pracze;Zielona Gora Glowna;162,83
Wroclaw Pracze;Czerwonka;303,94
Wroclaw Pracze;Chorzow Batory;36,88
Wroclaw Pracze;Puszczykowko;324,88
Wroclaw Pracze;Strzebielino Morskie;232,9
Wroclaw Pracze;Warka;235,36
Wroclaw Pracze;Malowice Wolowskie;283,97
Wroclaw Pracze;Pruszcz Gdanski;328,33
Wroclaw Pracze;Chocicza;423,19
Wroclaw Pracze;Czarna Bialostocka;46,76
Wroclaw Pracze;Podlasek;167,44
Wroclaw Pracze;Baby;50,68
Wroclaw Pracze;Radziwillow Mazowiecki;252,72
Wroclaw Pracze;Krasnik;291,78
Wroclaw Pracze;Lutol Suchy;211,5
Wroclaw Pracze;Zabki;474,83
Wroclaw Pracze;Radomsko;106,16
Wroclaw Pracze;Wroclaw Zachodni;286,85
Wroclaw Pracze;Jastrzab;358,12
Wroclaw Pracze;Glogowek;282,49
Wroclaw Pracze;Miasteczko Krajenskie;64,31
Wroclaw Pracze;Scinawa;320,54
Wroclaw Pracze;Osie;261,97
Wroclaw Pracze;Dobczyn;315,17
Wroclaw Pracze;Pepowo;183,87
Wroclaw Pracze;Pomiechowek;170,57
Wroclaw Pracze;Twarda Gora;462,37
Wroclaw Pracze;Gdynia Chylonia;282,21
Wroclaw Pracze;Strzelce Opolskie;483,27
Wroclaw Pracze;Oborzyska Stare;209,63
